TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DT,Lithology,Well
688.29,448.0766,15.775,0.0714,0.0298,0.756,7.2302,123.5243,2.6884,0.02,20000.0,6.5005,3.1168,60.4072,FILITO,3_BRSA_778_SE
688.3,468.7448,16.0487,0.0695,0.0306,0.7554,7.171,123.7575,2.6874,0.0205,20000.0,6.3202,3.108,60.2746,FILITO,3_BRSA_778_SE
688.31,466.7732,15.998,0.0696,0.0304,0.7538,7.1956,123.8549,2.6873,0.0207,19466.9534,6.2595,3.1051,60.2241,FILITO,3_BRSA_778_SE
688.32,472.817,15.9929,0.0699,0.032,0.7532,7.0617,123.9523,2.6871,0.0209,18933.9068,6.1988,3.1023,60.1735,FILITO,3_BRSA_778_SE
688.33,474.2791,16.0347,0.0722,0.0318,0.7335,7.0866,124.0496,2.687,0.0212,18400.8602,6.1382,3.0994,60.123,FILITO,3_BRSA_778_SE
688.34,457.185,15.9794,0.0732,0.0324,0.7096,7.0323,124.147,2.6869,0.0214,17867.8136,6.0775,3.0965,60.0724,FILITO,3_BRSA_778_SE
688.35,437.2629,15.6832,0.0788,0.0315,0.7033,7.117,124.2444,2.6867,0.0216,17334.767,6.0168,3.0936,60.0219,FILITO,3_BRSA_778_SE
688.36,427.1793,15.4862,0.0822,0.0322,0.7164,7.0789,124.3418,2.6866,0.0218,16801.7204,5.9561,3.0908,59.9714,FILITO,3_BRSA_778_SE
688.37,429.4758,15.4557,0.0852,0.0316,0.708,7.1362,124.4392,2.6865,0.022,16268.6738,5.8954,3.0879,59.9208,FILITO,3_BRSA_778_SE
688.38,418.0484,15.2485,0.0912,0.0312,0.7017,7.162,124.5365,2.6864,0.0223,15735.6272,5.8348,3.085,59.8703,FILITO,3_BRSA_778_SE
688.39,432.7296,15.546,0.092,0.0298,0.6958,7.2612,124.6339,2.6862,0.0225,15202.5806,5.7741,3.0822,59.8197,FILITO,3_BRSA_778_SE
688.4,459.6537,16.0672,0.0866,0.0295,0.6946,7.2702,124.7313,2.6861,0.0227,14669.534,5.7134,3.0793,59.7692,FILITO,3_BRSA_778_SE
688.41,479.3337,16.5694,0.0778,0.0285,0.7077,7.3362,124.9039,2.6865,0.023,13845.0406,5.7058,3.0783,59.7474,FILITO,3_BRSA_778_SE
688.42,492.8504,16.9162,0.0738,0.0285,0.7197,7.35,125.0766,2.6869,0.0233,13020.5471,5.6981,3.0772,59.7257,FILITO,3_BRSA_778_SE
688.43,476.8703,16.6697,0.0694,0.0292,0.754,7.3257,125.2492,2.6872,0.0236,12196.0537,5.6905,3.0762,59.7039,FILITO,3_BRSA_778_SE
688.44,475.1359,16.6846,0.0668,0.0289,0.7622,7.3438,125.4219,2.6876,0.0239,11371.5602,5.6828,3.0751,59.6821,FILITO,3_BRSA_778_SE
688.45,445.6035,16.1745,0.0714,0.0294,0.7682,7.2969,125.5945,2.688,0.0242,10547.0668,5.6751,3.0741,59.6603,FILITO,3_BRSA_778_SE
688.46,449.0422,16.0638,0.0761,0.0296,0.7519,7.269,125.7671,2.6884,0.0245,9722.5734,5.6675,3.0731,59.6386,FILITO,3_BRSA_778_SE
688.47,444.6711,15.7433,0.0795,0.0296,0.7393,7.2648,125.9398,2.6888,0.0248,8898.0799,5.6598,3.072,59.6168,FILITO,3_BRSA_778_SE
688.48,462.917,15.9866,0.0779,0.0302,0.7112,7.1972,126.1124,2.6891,0.0251,8073.5865,5.6522,3.071,59.595,FILITO,3_BRSA_778_SE
688.49,501.1882,16.7259,0.0768,0.0296,0.6754,7.2384,126.2851,2.6895,0.0254,7249.093,5.6445,3.0699,59.5733,FILITO,3_BRSA_778_SE
688.5,512.4315,16.9166,0.0757,0.0294,0.6934,7.2598,126.4577,2.6899,0.0257,6424.5996,5.6369,3.0689,59.5515,FILITO,3_BRSA_778_SE
688.51,501.8378,16.7387,0.0755,0.03,0.74,7.2534,126.7645,2.691,0.0263,5946.8664,5.6953,3.0749,59.5982,FILITO,3_BRSA_778_SE
688.52,484.7406,16.4696,0.08,0.0306,0.7825,7.234,127.0713,2.6921,0.0268,5469.1333,5.7538,3.0808,59.6448,FILITO,3_BRSA_778_SE
688.53,494.9338,16.6162,0.0824,0.0297,0.807,7.3126,127.3781,2.6932,0.0274,4991.4001,5.8122,3.0868,59.6915,FILITO,3_BRSA_778_SE
