TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DTC,Lithology,Well
231.51,79.6167,6.3111,0.2306,0.0944,0.9797,7.0201,82.709,2.2725,0.0011,3.124,0.322,4.3395,113.6716,CALCILUTITO,3_BRSA_897_SE
231.52,93.9002,7.203,0.1484,0.027,0.9098,7.4622,82.3361,2.2736,0.0008,3.182,0.3217,4.3526,113.3224,CALCILUTITO,3_BRSA_897_SE
231.53,103.1818,7.4774,0.1452,0.0268,0.9054,7.479,81.9632,2.2746,0.0006,3.2399,0.3214,4.3656,112.9732,CALCILUTITO,3_BRSA_897_SE
231.54,114.5672,7.8344,0.1411,0.0261,0.9018,7.5209,81.5902,2.2757,0.0004,3.2979,0.3211,4.3787,112.624,CALCILUTITO,3_BRSA_897_SE
231.55,125.5068,8.2684,0.1313,0.0254,0.8986,7.572,81.2173,2.2767,0.0002,3.3559,0.3207,4.3918,112.2748,CALCILUTITO,3_BRSA_897_SE
231.56,127.8613,8.4155,0.127,0.0259,0.8961,7.5524,80.8444,2.2777,-0.0001,3.4138,0.3204,4.4049,111.9256,CALCILUTITO,3_BRSA_897_SE
231.57,119.0878,8.0653,0.1359,0.0272,0.8947,7.481,80.4714,2.2788,-0.0003,3.4718,0.3201,4.4179,111.5764,CALCILUTITO,3_BRSA_897_SE
231.58,111.4118,7.7549,0.1459,0.0302,0.8914,7.3383,80.0985,2.2798,-0.0005,3.5298,0.3198,4.431,111.2272,CALCILUTITO,3_BRSA_897_SE
231.59,102.9646,7.5836,0.1488,0.0316,0.8892,7.2742,79.7255,2.2809,-0.0008,3.5878,0.3194,4.4441,110.8781,CALCILUTITO,3_BRSA_897_SE
231.6,91.681,7.2158,0.153,0.0325,0.8814,7.2024,79.3526,2.2819,-0.001,3.6457,0.3191,4.4571,110.5289,CALCILUTITO,3_BRSA_897_SE
231.61,90.601,7.1442,0.1516,0.033,0.866,7.1597,78.643,2.283,-0.0021,3.6675,0.315,4.4738,110.419,CALCILUTITO,3_BRSA_897_SE
231.62,96.9646,7.3424,0.1463,0.0339,0.8506,7.1067,77.9333,2.284,-0.0032,3.6893,0.311,4.4905,110.3091,CALCILUTITO,3_BRSA_897_SE
231.63,96.3844,7.3648,0.1427,0.0317,0.8471,7.2041,77.2237,2.2851,-0.0043,3.7112,0.3069,4.5072,110.1992,CALCILUTITO,3_BRSA_897_SE
231.64,92.9578,7.251,0.1406,0.0304,0.8496,7.2534,76.5141,2.2862,-0.0053,3.733,0.3029,4.5239,110.0892,CALCILUTITO,3_BRSA_897_SE
231.65,90.2036,7.161,0.1392,0.0308,0.8549,7.232,75.8045,2.2872,-0.0064,3.7548,0.2988,4.5406,109.9793,CALCILUTITO,3_BRSA_897_SE
231.66,85.8926,7.0306,0.1387,0.0325,0.8568,7.1609,75.0949,2.2883,-0.0075,3.7766,0.2948,4.5573,109.8694,CALCILUTITO,3_BRSA_897_SE
231.67,75.047,6.5966,0.1462,0.0332,0.8602,7.1191,74.3853,2.2894,-0.0086,3.7984,0.2907,4.574,109.7595,CALCILUTITO,3_BRSA_897_SE
231.68,70.4413,6.3956,0.1498,0.0335,0.8681,7.0936,73.6756,2.2904,-0.0097,3.8202,0.2867,4.5907,109.6496,CALCILUTITO,3_BRSA_897_SE
