TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DTC,Lithology,Well
54.13,0.0,0.0,1.0,1.0,1.0,0.0,85.7448,2.3603,-0.4071,41.2835,0.5072,26.7476,54.9203,FOLHELHO,3_BRSA_889_SE
54.14,0.0,0.0,1.0,1.0,1.0,0.0,85.9219,2.3604,-0.4071,41.1087,0.5077,26.7475,54.8916,FOLHELHO,3_BRSA_889_SE
54.15,0.0,0.0,1.0,1.0,1.0,0.0,86.099,2.3604,-0.4071,40.934,0.5083,26.7474,54.8629,FOLHELHO,3_BRSA_889_SE
54.16,0.0,0.0,1.0,1.0,1.0,0.0,86.2762,2.3604,-0.4071,40.7593,0.5088,26.7474,54.8342,FOLHELHO,3_BRSA_889_SE
54.17,0.0,0.0,1.0,1.0,1.0,0.0,86.4533,2.3604,-0.4071,40.5846,0.5094,26.7473,54.8055,FOLHELHO,3_BRSA_889_SE
54.18,0.0,0.0,1.0,1.0,1.0,0.0,86.6304,2.3604,-0.4071,40.4099,0.5099,26.7472,54.7768,FOLHELHO,3_BRSA_889_SE
54.19,0.0,0.0,1.0,1.0,1.0,0.0,86.8075,2.3604,-0.4071,40.2351,0.5105,26.7471,54.7481,FOLHELHO,3_BRSA_889_SE
54.2,0.0,0.0,1.0,1.0,1.0,0.0,86.9846,2.3604,-0.4071,40.0604,0.511,26.7471,54.7194,FOLHELHO,3_BRSA_889_SE
54.21,0.0,0.0,1.0,1.0,1.0,0.0,87.0481,2.3604,-0.4071,39.7567,0.5157,26.7469,54.6515,FOLHELHO,3_BRSA_889_SE
54.22,0.0,0.0,1.0,1.0,1.0,0.0,87.1116,2.3604,-0.4071,39.4529,0.5203,26.7468,54.5835,FOLHELHO,3_BRSA_889_SE
54.23,0.0,0.0,1.0,1.0,1.0,0.0,87.1751,2.3605,-0.4071,39.1492,0.525,26.7466,54.5156,FOLHELHO,3_BRSA_889_SE
54.24,0.0,0.0,1.0,1.0,1.0,0.0,87.2386,2.3605,-0.4071,38.8454,0.5296,26.7465,54.4477,FOLHELHO,3_BRSA_889_SE
