TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO
493.95,77.3574,6.5991,0.1597,0.0408,0.8271,6.6426,147.0256,2.4036,0.0074
493.96,77.8502,6.6564,0.154,0.0404,0.809,6.6893,146.9897,2.4034,0.0074
493.97,77.5233,6.6466,0.1486,0.0408,0.7849,6.6673,146.9537,2.4031,0.0075
493.98,79.9253,6.8088,0.1377,0.0383,0.7859,6.7866,146.9178,2.4029,0.0075
493.99,83.3222,7.0263,0.1262,0.0383,0.7818,6.7658,146.8818,2.4026,0.0076
494.0,89.7067,7.2344,0.1273,0.0377,0.7703,6.7984,146.8459,2.4024,0.0076
494.01,90.4945,7.1875,0.1325,0.038,0.7704,6.7884,147.0102,2.4024,0.0077
494.02,87.3748,7.0368,0.1365,0.038,0.7825,6.7732,147.1745,2.4023,0.0078
494.03,90.0838,7.1496,0.136,0.038,0.7921,6.7924,147.3388,2.4023,0.0079
494.04,89.9596,7.1066,0.141,0.0382,0.804,6.7978,147.5031,2.4022,0.008
494.05,88.8308,7.087,0.1449,0.0366,0.8116,6.8766,147.6674,2.4022,0.0081
494.06,89.3198,7.1772,0.1392,0.0356,0.8206,6.8964,147.8318,2.4022,0.0082
494.07,90.751,7.2873,0.1377,0.0354,0.8174,6.9153,147.9961,2.4021,0.0083
494.08,93.4586,7.3814,0.1369,0.0353,0.8182,6.9256,148.1604,2.4021,0.0084
494.09,91.7869,7.3428,0.1374,0.0352,0.8194,6.933,148.3247,2.402,0.0085
494.1,94.6768,7.4269,0.1345,0.0348,0.811,6.9484,148.489,2.402,0.0086
494.11,96.3928,7.3677,0.1418,0.0352,0.7941,6.9332,148.0815,2.4026,0.0089
494.12,93.355,7.2266,0.1478,0.0348,0.7954,6.9633,147.6739,2.4031,0.0092
494.13,95.032,7.2124,0.1558,0.0354,0.7888,6.9316,147.2664,2.4037,0.0095
494.14,91.7924,7.0235,0.1659,0.0354,0.7814,6.94,146.8589,2.4043,0.0098
494.15,89.0975,6.8431,0.1724,0.036,0.7835,6.8985,146.4514,2.4048,0.01
494.16,88.4224,6.8769,0.1674,0.0352,0.7904,6.9281,146.0438,2.4054,0.0103
494.17,86.2867,6.8225,0.1658,0.0362,0.7889,6.867,145.6363,2.406,0.0106
494.18,86.6304,6.835,0.1602,0.0358,0.7859,6.912,145.2288,2.4066,0.0109
494.19,81.9557,6.6652,0.1563,0.0366,0.7944,6.8529,144.8212,2.4071,0.0112
494.2,84.4531,6.7602,0.1528,0.0364,0.7931,6.8666,144.4137,2.4077,0.0115
494.21,81.8422,6.7038,0.1562,0.0363,0.8022,6.8682,144.0371,2.408,0.0115
494.22,82.8922,6.7871,0.1567,0.0362,0.8013,6.8892,143.6606,2.4083,0.0115
494.23,81.709,6.8022,0.1581,0.0368,0.8112,6.8692,143.284,2.4086,0.0115
494.24,85.2321,7.0137,0.1546,0.0354,0.8163,6.916,142.9074,2.4089,0.0115
494.25,87.8022,7.1804,0.1488,0.0354,0.8182,6.8963,142.5308,2.4092,0.0115
494.26,87.8538,7.1964,0.1436,0.0352,0.8151,6.9244,142.1543,2.4094,0.0115
494.27,89.7268,7.2435,0.1422,0.0356,0.8146,6.9114,141.7777,2.4097,0.0115
