TDEP,LITOLOGIA
37.8,ARENITO
37.9,ARENITO
38.0,ARENITO
38.1,ARENITO
38.2,ARENITO
38.3,ARENITO
38.4,ARENITO
38.5,ARENITO
38.6,ARENITO
38.7,ARENITO
38.8,ARENITO
38.9,ARENITO
39.0,ARENITO
39.1,ARENITO
39.2,ARENITO
39.3,ARENITO
39.4,ARENITO
39.5,ARENITO
39.6,ARENITO
39.7,ARENITO
39.8,ARENITO
39.9,ARENITO
40.0,ARENITO
40.1,ARENITO
40.2,ARENITO
40.3,ARENITO
40.4,ARENITO
40.5,ARENITO
40.6,ARENITO
40.7,ARENITO
40.8,ARENITO
40.9,ARENITO
41.0,ARENITO
41.1,ARENITO
41.2,ARENITO
41.3,ARENITO
41.4,ARENITO
41.5,ARENITO
41.6,ARENITO
41.7,ARENITO
41.8,ARENITO
41.9,ARENITO
42.0,ARENITO
42.1,ARENITO
42.2,ARENITO
42.3,ARENITO
42.4,ARENITO
42.5,ARENITO
42.6,ARENITO
42.7,ARENITO
42.8,ARENITO
42.9,ARENITO
43.0,ARENITO
43.1,ARENITO
43.2,ARENITO
43.3,ARENITO
43.4,ARENITO
43.5,ARENITO
43.6,ARENITO
43.7,ARENITO
43.8,ARENITO
43.9,ARENITO
44.0,ARENITO
44.1,ARENITO
44.2,ARENITO
44.3,ARENITO
44.4,ARENITO
44.5,ARENITO
44.6,ARENITO
44.7,ARENITO
44.8,ARENITO
44.9,ARENITO
45.0,ARENITO
45.1,ARENITO
45.2,ARENITO
45.3,ARENITO
45.4,ARENITO
45.5,ARENITO
45.6,ARENITO
45.7,ARENITO
45.8,ARENITO
45.9,ARENITO
46.0,ARENITO
46.1,ARENITO
46.2,ARENITO
46.3,ARENITO
46.4,ARENITO
46.5,ARENITO
46.6,ARENITO
46.7,ARENITO
46.8,ARENITO
46.9,ARENITO
47.0,ARENITO
47.1,ARENITO
47.2,ARENITO
47.3,ARENITO
47.4,ARENITO
47.5,ARENITO
47.6,ARENITO
47.7,ARENITO
47.8,ARENITO
47.9,ARENITO
48.0,ARENITO
48.1,ARENITO
48.2,ARENITO
48.3,ARENITO
48.4,ARENITO
